verb	aspect	id	pair	pair_aspect	pair_id	pair_type
mrugać	ndk	251117	mrugnąć	dk	266226	suffixed
myć	ndk	273586	umyć	dk	273595	empty
mylić	ndk	270472	omylić	dk	270476	empty
mylić	ndk	270472	pomylić	dk	270476	empty
mylić	ndk	270472	zmylić	dk	270476	empty
myśleć	ndk	268414	pomyśleć	dk	268420	empty
nabierać	ndk	254758	nabrać	dk	254726	suffixed
naciskać	ndk	253256	nacisnąć	dk	266980	suffixed
nadawać	ndk	255843	nadać	dk	250707	suffixed
nadchodzić	ndk	272867	nadejść	dk	273396	suffixed
nagrywać	ndk	263500	nagrać	dk	254944	suffixed
nakazywać	ndk	264241	nakazać	dk	264393	suffixed
nakładać	ndk	250668	nałożyć	dk	275173	suffixed
nalegać	ndk	250964	nalec	dk	250096	suffixed
namawiać	ndk	252388	namówić	dk	272459	suffixed
napełniać	ndk	251906	napełnić	dk	271020	suffixed
narastać	ndk	255689	narosnąć	dk	273431	suffixed
narastać	ndk	255689	naróść	dk	273431	suffixed
narażać	ndk	265650	narazić	dk	272610	suffixed
naruszać	ndk	265568	naruszyć	dk	274923	suffixed
narzucać	ndk	250535	narzucić	dk	269786	suffixed
następować	ndk	259671	nastąpić	dk	271653	suffixed
następować	ndk	259672	nastąpić	dk	271654	suffixed
nawiązywać	ndk	264270	nawiązać	dk	264417	suffixed
nazywać	ndk	264268	nazwać	dk	264376	suffixed
negocjować	ndk	257537	wynegocjować	dk	257540	empty
nienawidzić	ndk	272834	znienawidzić	dk	272835	empty
niepokoić	ndk	271514	zaniepokoić	dk	271516	empty
niszczyć	ndk	274284	zniszczyć	dk	274293	empty
notować	ndk	261459	zanotować	dk	261460	empty
nudzić	ndk	273041	znudzić	dk	273049	empty
obchodzić	ndk	272866	obejść	dk	273395	suffixed
obchodzić	ndk	279964	obejść	dk	279963	suffixed
obejmować	ndk	259051	objąć	dk	265929	suffixed
obiecywać	ndk	263164	obiecać	dk	250412	suffixed
obniżać	ndk	265807	obniżyć	dk	275143	suffixed
obracać	ndk	250356	obrócić	dk	269575	suffixed
obrażać	ndk	265654	obrazić	dk	272612	suffixed
obserwować	ndk	261919	zaobserwować	dk	261920	empty
obsługiwać	ndk	256167	obsłużyć	dk	275276	suffixed
oceniać	ndk	251769	ocenić	dk	270768	suffixed
ocierać	ndk	254798	otrzeć	dk	268841	suppletion
odbierać	ndk	254762	odebrać	dk	254730	suffixed
odbijać	ndk	252795	odbić	dk	269070	suffixed
odbywać	ndk	263100	odbyć	dk	273573	suffixed
odchodzić	ndk	272868	odejść	dk	273397	suffixed
odcinać	ndk	254300	odciąć	dk	265868	suffixed
odczuwać	ndk	263053	odczuć	dk	273540	suffixed
odczytywać	ndk	263761	odczytać	dk	255823	suffixed
oddalać	ndk	253575	oddalić	dk	269876	suffixed
oddawać	ndk	255848	oddać	dk	250783	suffixed
oddychać	ndk	251361	odetchnąć	dk	266340	suffixed
odgrywać	ndk	263502	odegrać	dk	254947	suffixed
odjeżdżać	ndk	265742	odjechać	dk	251247	suffixed
odkładać	ndk	250676	odłożyć	dk	275178	suffixed
odkrywać	ndk	263523	odkryć	dk	273605	suffixed
odmawiać	ndk	252392	odmówić	dk	272462	suffixed
odnosić	ndk	272028	odnieść	dk	273309	suffixed
odpoczywać	ndk	264296	odpocząć	dk	267300	suffixed
odpowiadać	ndk	250636	odpowiedzieć	dk	268268	suffixed
odrywać	ndk	263493	oderwać	dk	262933	suffixed
odrzucać	ndk	250541	odrzucić	dk	269789	suffixed
odsłaniać	ndk	251667	odsłonić	dk	271106	suffixed
odsuwać	ndk	263030	odsunąć	dk	267146	suffixed
odwiedzać	ndk	265012	odwiedzić	dk	272757	suffixed
odwoływać	ndk	263240	odwołać	dk	254081	suffixed
odwracać	ndk	250378	odwrócić	dk	269586	suffixed
odzywać	ndk	264302	odezwać	dk	264381	suffixed
oferować	ndk	260032	zaoferować	dk	260033	empty
ogarniać	ndk	251960	ogarnąć	dk	266903	suffixed
oglądać	ndk	250766	oglądnąć	dk	268755	suffixed
oglądać	ndk	250766	obejrzeć	dk	268755	suppletion
ogłaszać	ndk	265390	ogłosić	dk	272006	suffixed
ograniczać	ndk	264616	ograniczyć	dk	273880	suffixed
okazywać	ndk	264245	okazać	dk	264396	suffixed
określać	ndk	253892	określić	dk	270368	suffixed
omawiać	ndk	252396	omówić	dk	272466	suffixed
omijać	ndk	252825	ominąć	dk	266409	suffixed
opadać	ndk	250718	opaść	dk	273218	suffixed
opiekować	ndk	257697	zaopiekować	dk	257698	empty
opierać	ndk	254834	oprać	dk	255018	suffixed
opierać	ndk	254835	oprzeć	dk	268809	suffixed
opisywać	ndk	263624	opisać	dk	255168	suffixed
opłacać	ndk	250324	opłacić	dk	269293	suffixed
opowiadać	ndk	250639	opowiedzieć	dk	268271	suffixed
opuszczać	ndk	264804	opuścić	dk	269728	suffixed
organizować	ndk	262308	zorganizować	dk	262313	empty
osiągać	ndk	250922	osiągnąć	dk	266106	suffixed
oskarżać	ndk	265823	oskarżyć	dk	275247	suffixed
osłaniać	ndk	251671	osłonić	dk	271108	suffixed
ostrzegać	ndk	250979	ostrzec	dk	250138	suffixed
oszczędzać	ndk	265053	oszczędzić	dk	272825	suffixed
oszukiwać	ndk	256459	oszukać	dk	253443	suffixed
oświetlać	ndk	253923	oświetlić	dk	270405	suffixed
otaczać	ndk	264516	otoczyć	dk	274096	suffixed
otrzymywać	ndk	263313	otrzymać	dk	254250	suffixed
otwierać	ndk	254865	otworzyć	dk	274599	suffixed
oznaczać	ndk	264484	oznaczyć	dk	273716	suffixed
pachnieć	ndk	267670	zapachnieć	dk	267671	empty
padać	ndk	250708	padnąć	dk	273205	suffixed
padać	ndk	250708	paść	dk	273205	suffixed
pakować	ndk	257608	zapakować	dk	257616	empty
pakować	ndk	257608	spakować	dk	257616	empty
panować	ndk	259230	zapanować	dk	259231	empty
pasować	ndk	260653	spasować	dk	260661	empty
pasować	ndk	260654	spasować	dk	260659	empty
pchać	ndk	251290	pchnąć	dk	266310	suffixed
pędzić	ndk	272786	popędzić	dk	279545	empty
pękać	ndk	253101	pęknąć	dk	266532	suffixed
pić	ndk	271619	wypić	dk	271873	empty
piec	ndk	250071	upiec	dk	250080	empty
pilnować	ndk	259393	upilnować	dk	259397	empty
pisać	ndk	255161	napisać	dk	255162	empty
planować	ndk	259221	zaplanować	dk	259223	empty
planować	ndk	259222	splanować	dk	259225	empty
plasować	ndk	260630	uplasować	dk	260631	empty
płacić	ndk	269287	zapłacić	dk	269288	empty
płakać	ndk	252898	zapłakać	dk	252900	empty
płonąć	ndk	266773	spłonąć	dk	266778	empty
płynąć	ndk	267166	popłynąć	dk	267175	empty
pobierać	ndk	254771	pobrać	dk	254744	suffixed
pochłaniać	ndk	251653	pochłonąć	dk	266770	suffixed
pochylać	ndk	253986	pochylić	dk	270465	suffixed
pociągać	ndk	275681	pociągnąć	dk	266094	suffixed
pocieszać	ndk	265454	pocieszyć	dk	274798	suffixed
poczynać	ndk	254405	począć	dk	267296	suffixed
podawać	ndk	255864	podać	dk	250815	suffixed
podążać	ndk	265707	podążyć	dk	275049	suffixed
podchodzić	ndk	272870	podejść	dk	273398	suffixed
poddawać	ndk	255850	poddać	dk	250784	suffixed
podejmować	ndk	259054	podjąć	dk	265931	suffixed
podkreślać	ndk	253889	podkreślić	dk	270366	suffixed
podlegać	ndk	250968	podlec	dk	250102	suffixed
podnosić	ndk	272030	podnieść	dk	273310	suffixed
podobać	ndk	250242	spodobać	dk	250244	empty
podpisywać	ndk	263622	podpisać	dk	255166	suffixed
podpowiadać	ndk	250637	podpowiedzieć	dk	268269	suffixed
podskakiwać	ndk	256264	podskoczyć	dk	274005	suffixed
podtrzymywać	ndk	263311	podtrzymać	dk	254248	suffixed
pojawiać	ndk	252343	pojawić	dk	272139	suffixed
pojmować	ndk	259063	pojąć	dk	265936	suffixed
pokazywać	ndk	264250	pokazać	dk	264398	suffixed
pokonywać	ndk	263333	pokonać	dk	254390	suffixed
pokrywać	ndk	263528	pokryć	dk	273608	suffixed
polecać	ndk	250436	polecić	dk	269390	suffixed
pomagać	ndk	250871	pomóc	dk	250158	suffixed
pomijać	ndk	252826	pominąć	dk	266410	suffixed
ponosić	ndk	272038	ponieść	dk	273326	suffixed
popełniać	ndk	251912	popełnić	dk	271024	suffixed
popierać	ndk	254840	poprzeć	dk	268811	suffixed
popijać	ndk	252839	popić	dk	271775	suffixed
poprawiać	ndk	252435	poprawić	dk	272200	suffixed
porównywać	ndk	263340	porównać	dk	254397	suffixed
poruszać	ndk	265578	poruszyć	dk	274937	suffixed
posiadać	ndk	250619	posiąść	dk	273336	suffixed
posiadać	ndk	250619	posieść	dk	273336	suffixed
postanawiać	ndk	252414	postanowić	dk	272418	suffixed
postępować	ndk	259681	postąpić	dk	271664	suffixed
postrzegać	ndk	250981	postrzec	dk	250140	suffixed
posuwać	ndk	263039	posunąć	dk	267152	suffixed
posyłać	ndk	254149	posłać	dk	254120	suffixed
poszukiwać	ndk	256463	poszukać	dk	253445	suffixed
poświęcać	ndk	250445	poświęcić	dk	269405	suffixed
potrząsać	ndk	255111	potrząsnąć	dk	266964	suffixed
potwierdzać	ndk	265070	potwierdzić	dk	273000	suffixed
powiększać	ndk	265521	powiększyć	dk	274846	suffixed
powodować	ndk	257050	spowodować	dk	257052	empty
powoływać	ndk	263242	powołać	dk	254084	suffixed
powracać	ndk	250384	powrócić	dk	269589	suffixed
powstawać	ndk	255952	powstać	dk	255772	suffixed
powstrzymywać	ndk	263316	powstrzymać	dk	254255	suffixed
powtarzać	ndk	265205	powtórzyć	dk	274613	suffixed
poznawać	ndk	255883	poznać	dk	254457	suffixed
pozostawać	ndk	255945	pozostać	dk	255757	suffixed
pozostawiać	ndk	252481	pozostawić	dk	272237	suffixed
pozwalać	ndk	253683	pozwolić	dk	270327	suffixed
pragnąć	ndk	266081	zapragnąć	dk	266082	empty
prezentować	ndk	261378	zaprezentować	dk	261380	empty
produkować	ndk	258267	wyprodukować	dk	258273	empty
proponować	ndk	259501	zaproponować	dk	259502	empty
prosić	ndk	272062	poprosić	dk	272070	empty
prosić	ndk	272063	oprosić	dk	272068	empty
protestować	ndk	261616	zaprotestować	dk	261617	empty
próbować	ndk	256596	spróbować	dk	256600	empty
przebiegać	ndk	250939	przebiec	dk	266117	suffixed
przebiegać	ndk	250939	przebiegnąć	dk	266117	suffixed
przebierać	ndk	254765	przebrać	dk	254735	suffixed
przebijać	ndk	252799	przebić	dk	269079	suffixed
przebywać	ndk	263111	przebyć	dk	273574	suffixed
przechadzać	ndk	264848	przejść	dk	277499	suffixed
przechodzić	ndk	272871	przejść	dk	273402	suffixed
przechowywać	ndk	263880	przechować	dk	257404	suffixed
przeciągać	ndk	250904	przeciągnąć	dk	266091	suffixed
przecinać	ndk	254304	przeciąć	dk	265870	suffixed
przedstawiać	ndk	252467	przedstawić	dk	272228	suffixed
przeglądać	ndk	250764	przeglądnąć	dk	268760	suffixed
przeglądać	ndk	250764	przejrzeć	dk	268760	suffixed
przegrywać	ndk	263506	przegrać	dk	254950	suffixed
przejawiać	ndk	252341	przejawić	dk	272138	suffixed
przejeżdżać	ndk	265745	przejechać	dk	251249	suffixed
przejmować	ndk	259060	przejąć	dk	265934	suffixed
przekazywać	ndk	264244	przekazać	dk	264395	suffixed
przeklinać	ndk	254344	przekląć	dk	265946	suffixed
przekładać	ndk	250680	przełożyć	dk	275180	suffixed
przekonywać	ndk	263331	przekonać	dk	254388	suffixed
przekraczać	ndk	264494	przekroczyć	dk	274060	suffixed
przemawiać	ndk	252394	przemówić	dk	272465	suffixed
przemierzać	ndk	265255	przemierzyć	dk	274480	suffixed
przenikać	ndk	253134	przeniknąć	dk	266552	suffixed
przenosić	ndk	272033	przenieść	dk	273312	suffixed
przepadać	ndk	250716	przepaść	dk	273215	suffixed
przepraszać	ndk	265425	przeprosić	dk	272067	suffixed
przeprowadzać	ndk	264963	przeprowadzić	dk	272687	suffixed
przerażać	ndk	265662	przerazić	dk	272617	suffixed
przerywać	ndk	277375	przeryć	dk	273601	suffixed
przesadzać	ndk	264939	przesadzić	dk	272669	suffixed
przestawać	ndk	255929	przestać	dk	255727	suffixed
przestawać	ndk	255930	przestać	dk	255726	suffixed
przestrzegać	ndk	250978	przestrzec	dk	250137	suffixed
przesuwać	ndk	263034	przesunąć	dk	267149	suffixed
przesyłać	ndk	254147	przesłać	dk	254116	suffixed
przeszkadzać	ndk	264855	przeszkodzić	dk	272897	suffixed
przeważać	ndk	265694	przeważyć	dk	275032	suffixed
przewidywać	ndk	263211	przewidzieć	dk	268294	suffixed
przewracać	ndk	250381	przewrócić	dk	269588	suffixed
przewyższać	ndk	265598	przewyższyć	dk	274979	suffixed
przeżywać	ndk	264359	przeżyć	dk	275104	suffixed
przybierać	ndk	254778	przybrać	dk	254747	suffixed
przybywać	ndk	263154	przybyć	dk	273582	suffixed
przychodzić	ndk	272890	przyjść	dk	273412	suffixed
przyciągać	ndk	250917	przyciągnąć	dk	266102	suffixed
przyciskać	ndk	253287	przycisnąć	dk	266995	suffixed
przyczyniać	ndk	252064	przyczynić	dk	271357	suffixed
przyglądać	ndk	250774	przyjrzeć	dk	277142	suffixed
przyglądać	ndk	250774	przyglądnąć	dk	277142	suffixed
przygotowywać	ndk	264193	przygotować	dk	261440	suffixed
przyjeżdżać	ndk	265755	przyjechać	dk	251255	suffixed
przyjmować	ndk	259068	przyjąć	dk	265939	suffixed
przykładać	ndk	250701	przyłożyć	dk	275193	suffixed
przynosić	ndk	272046	przynieść	dk	273330	suffixed
przypadać	ndk	250735	przypaść	dk	273233	suffixed
przypatrywać	ndk	263569	przypatrzyć	dk	279130	suffixed
przypatrywać	ndk	263569	przypatrzeć	dk	279130	suffixed
przypisywać	ndk	263635	przypisać	dk	255174	suffixed
przypominać	ndk	254360	przypomnieć	dk	267759	suffixed
przypuszczać	ndk	264816	przypuścić	dk	269735	suffixed
przysięgać	ndk	251000	przysiąc	dk	266149	suffixed
przysięgać	ndk	251000	przysięgnąć	dk	266149	suffixed
przywiązywać	ndk	264290	przywiązać	dk	264433	suffixed
przywoływać	ndk	263244	przywołać	dk	254086	suffixed
przyznawać	ndk	255891	przyznać	dk	254463	suffixed
psuć	ndk	273523	zepsuć	dk	273528	empty
psuć	ndk	273523	popsuć	dk	273528	empty
publikować	ndk	257818	opublikować	dk	257819	empty
puszczać	ndk	264797	puścić	dk	269722	suffixed
pytać	ndk	255798	spytać	dk	255807	empty
radzić	ndk	272651	poradzić	dk	272659	empty
ratować	ndk	260953	uratować	dk	260972	empty
reagować	ndk	257199	zareagować	dk	257200	empty
realizować	ndk	262066	zrealizować	dk	262067	empty
relacjonować	ndk	259429	zrelacjonować	dk	259430	empty
rezygnować	ndk	259297	zrezygnować	dk	259298	empty
robić	ndk	269148	zrobić	dk	269168	empty
rodzić	ndk	272932	urodzić	dk	272959	empty
rosnąć	ndk	267021	urosnąć	dk	267030	empty
rozbijać	ndk	252819	rozbić	dk	269249	suffixed
rozciągać	ndk	250919	rozciągnąć	dk	266103	suffixed
rozdawać	ndk	255874	rozdać	dk	250846	suffixed
rozglądać	ndk	250776	rozglądnąć	dk	268758	suffixed
rozglądać	ndk	250776	rozejrzeć	dk	268758	suffixed
rozgrywać	ndk	263516	rozegrać	dk	254972	suffixed
rozgrywać	ndk	263516	rozgrać	dk	254972	suffixed
rozkładać	ndk	250703	rozłożyć	dk	275195	suffixed
rozlegać	ndk	250976	rozlec	dk	266137	suffixed
rozlegać	ndk	250976	rozlegnąć	dk	266137	suffixed
rozpoczynać	ndk	254408	rozpocząć	dk	267303	suffixed
rozpoznawać	ndk	255887	rozpoznać	dk	254460	suffixed
rozumieć	ndk	267502	zrozumieć	dk	267506	empty
rozważać	ndk	265704	rozważyć	dk	275044	suffixed
rozwiązywać	ndk	264294	rozwiązać	dk	264435	suffixed
rozwijać	ndk	252871	rozwinąć	dk	272564	suffixed
rozwijać	ndk	252871	rozwić	dk	272564	suffixed
ruszać	ndk	265567	ruszyć	dk	274922	suffixed
rysować	ndk	260903	narysować	dk	260905	empty
ryzykować	ndk	258370	zaryzykować	dk	258371	empty
rzucać	ndk	250534	rzucić	dk	269785	suffixed
schodzić	ndk	272877	zejść	dk	273400	suppletion
siadać	ndk	250607	siąść	dk	273334	suffixed
siadać	ndk	250607	sieść	dk	273334	suffixed
sięgać	ndk	250994	sięgnąć	dk	266143	suffixed
skakać	ndk	252890	skoczyć	dk	273999	suffixed
skarżyć	ndk	275244	poskarżyć	dk	275248	empty
składać	ndk	250689	złożyć	dk	275194	suppletion
skłaniać	ndk	251659	skłonić	dk	271094	suffixed
skręcać	ndk	250468	skręcić	dk	269434	suffixed
skupiać	ndk	252267	skupić	dk	271832	suffixed
słuchać	ndk	251322	posłuchać	dk	251331	empty
słyszeć	ndk	268909	usłyszeć	dk	268918	empty
snuć	ndk	273484	usnuć	dk	273494	empty
spacerować	ndk	259988	pospacerować	dk	259990	empty
spadać	ndk	250724	spaść	dk	273224	suffixed
spełniać	ndk	251913	spełnić	dk	271025	suffixed
spędzać	ndk	265038	spędzić	dk	272795	suffixed
spieszyć	ndk	274805	pospieszyć	dk	274806	empty
spisywać	ndk	263628	spisać	dk	255171	suffixed
spływać	ndk	263260	spłynąć	dk	267176	suffixed
spoczywać	ndk	264297	spocząć	dk	267301	suffixed
spoglądać	ndk	250770	spoglądnąć	dk	268765	suffixed
spoglądać	ndk	250770	spojrzeć	dk	268765	suffixed
spoglądać	ndk	250770	spójrzeć	dk	268765	suffixed
spotykać	ndk	253522	spotkać	dk	253358	suffixed
sprawdzać	ndk	265108	sprawdzić	dk	273079	suffixed
sprawiać	ndk	252437	sprawić	dk	272201	suffixed
sprowadzać	ndk	264966	sprowadzić	dk	272691	suffixed
sprzątać	ndk	255354	sprzątnąć	dk	267089	suffixed
sprzeciwiać	ndk	252523	sprzeciwić	dk	272304	suffixed
sprzedawać	ndk	255855	sprzedać	dk	250790	suffixed
spuszczać	ndk	264809	spuścić	dk	269731	suffixed
stać	ndk	255678	stawać	dk	255921	suffixed
starać	ndk	254717	postarać	dk	254718	empty
startować	ndk	261516	wystartować	dk	261517	empty
stawać	ndk	255921	stać	dk	255677	suffixed
stawać	ndk	255922	stanąć	dk	265951	suffixed
stawać	ndk	279180	stać	dk	279158	suffixed
stawiać	ndk	252459	postawić	dk	272235	suppletion
stawiać	ndk	277409	stawić	dk	272222	suffixed
stosować	ndk	260839	zastosować	dk	260840	empty
straszyć	ndk	274779	nastraszyć	dk	274784	empty
straszyć	ndk	274779	przestraszyć	dk	274784	empty
strzec	ndk	250135	ustrzec	dk	250142	empty
strzelać	ndk	253777	strzelić	dk	270135	suffixed
studiować	ndk	257443	przestudiować	dk	257444	empty
stukać	ndk	253429	stuknąć	dk	266687	suffixed
stwarzać	ndk	265222	stworzyć	dk	274603	suffixed
stwierdzać	ndk	265071	stwierdzić	dk	273001	suffixed
sugerować	ndk	260038	zasugerować	dk	260039	empty
sypać	ndk	254681	sypnąć	dk	266888	suffixed
szacować	ndk	256693	oszacować	dk	256695	empty
szarpać	ndk	254613	szarpnąć	dk	266857	suffixed
szeptać	ndk	255659	szepnąć	dk	266834	suffixed
szkodzić	ndk	272894	zaszkodzić	dk	272896	empty
szykować	ndk	258359	uszykować	dk	258363	empty
ściągać	ndk	250908	ściągnąć	dk	266095	suffixed
ściskać	ndk	253273	ścisnąć	dk	266989	suffixed
śmiać	ndk	251602	roześmiać	dk	251607	empty
