pivot,perfective,similarity
dostawać,dostać,0.5908685539122844
dotykać,dotknąć,0.6869785197898988
drażnić,podrażnić,0.5634014810121528
drażnić,zadrażnić,0.35917349127304266
drgać,drgnąć,0.46571158122556766
drylować,wydrylować,0.5437644207143663
dymać,wydymać,0.49618382067879585
dyszeć,wydyszeć,0.48204986846887865
działać,zadziałać,0.5771395082590204
działać,zdziałać,0.4026813360825885
dzierżyć,zdzierżyć,0.23256416669786895
dziwić,zadziwić,0.2522811602074291
dziwić,zdziwić,0.4647555444218241
dziękować,podziękować,0.6278894737880145
edytować,wyedytować,0.5790122401217556
egzaminować,przeegzaminować,0.49284322654074875
fruwać,frunąć,0.539657205484935
gadać,dogadać,0.4957000985001805
gadać,obgadać,0.43266085014115996
gadać,pogadać,0.710049465655484
gadać,przegadać,0.4505084319096724
gadać,rozgadać,0.49378517322038196
gadać,ugadać,0.33568344592467647
gadać,wygadać,0.47343618508901686
gadać,zagadać,0.48287625097922793
gadać,zgadać,0.5049569268735253
gadać,zgadnąć,0.32364965254689637
gasić,dogasić,0.5929386668012236
gasić,pogasić,0.49298345369326046
gasić,wygasić,0.4631214412589564
gasić,zagasić,0.5737044010555077
gasić,zgasić,0.6230931821828687
gotować,przegotować,0.5342438841608897
gotować,ugotować,0.7587878542298867
gotować,zagotować,0.7086100671053921
graniczyć,ograniczyć,0.2204699771081875
grozić,zagrozić,0.5849988987085516
grozić,pogrozić,0.43151612839962095
gryźć,pogryźć,0.5893321863076056
gryźć,ugryźć,0.5135956907039329
gryźć,zagryźć,0.5090334450501223
gryźć,zgryźć,0.5068340955018722
grzebać,pogrześć,0.2535349295214906
grzebać,pogrzebać,0.6668199502046754
grzebać,rozgrzebać,0.32410334515194994
grzebać,zagrzebać,0.5221448161210177
grzebać,przegrzebać,0.4090847538968645
grzmieć,zagrzmieć,0.5390458783448023
grzęznąć,ugrzęznąć,0.5528095655055024
gwizdać,wygwizdać,0.5069823562571898
gwizdać,gwizdnąć,0.5348572456124777
głosować,przegłosować,0.5284367821251361
głosować,zagłosować,0.7676698665008852
haftować,wyhaftować,0.49480421211851333
hamować,zahamować,0.7287719448302993
hamować,wyhamować,0.715515818405675
identyfikować,zidentyfikować,0.6230175861021845
imponować,zaimponować,0.767040341955423
jadać,objeść,0.4295807808269002
jadać,podjeść,0.46210113929870367
jadać,wyjeść,0.47661042919717533
jadać,zjeść,0.6103557108539853
jonizować,zjonizować,0.7002434139718912
jąkać,zająknąć,0.3659077006211736
karać,pokarać,0.49370644728020174
karać,skarać,0.356200921513794
karać,ukarać,0.751533283599141
kastrować,wykastrować,0.4504649300868804
kichać,kichnąć,0.49989876968077906
klękać,uklęknąć,0.6477457346131246
klękać,przyklęknąć,0.556214609168153
kochać,pokochać,0.6923973620652986
kontrolować,skontrolować,0.7210228154800908
kopać,wykopać,0.6457300410294093
kopać,przekopać,0.4747567401547762
kopać,zakopać,0.5529776977693377
kopać,odkopać,0.5054495945622806
kopać,okopać,0.42464421416586406
kopiować,skopiować,0.6840368442376284
kosić,skosić,0.6732813762545943
kosić,zakosić,0.34448286705019493
kraść,okraść,0.4829118099967693
kraść,ukraść,0.5751377201267537
kraść,skraść,0.37702301985273856
kroić,dokroić,0.5104893356068005
kroić,okroić,0.3278326234222402
kroić,pokroić,0.6039243209051183
kroić,przekroić,0.5668419250252956
kroić,przykroić,0.32586773324092844
kroić,rozkroić,0.5940986776886045
kroić,ukroić,0.5422542997665266
kroić,wkroić,0.4814383490201738
krzyczeć,krzyknąć,0.7243117301538086
krzyczeć,pokrzyczeć,0.5112862391931973
krzyczeć,nakrzyczeć,0.46412107890068266
krzyczeć,skrzyknąć,0.2918394425312867
krzyczeć,wykrzyknąć,0.45942102818187935
kukać,kuknąć,0.47269281023564713
kukać,zakukać,0.5252396542731896
kukać,wykukać,0.42670566703932833
kumać,pokumać,0.41164926333564966
kupować,kupić,0.7996564076121715
kusić,podkusić,0.39146710483037084
kłamać,skłamać,0.48815243986671064
kłamać,okłamać,0.5095700537181529
kłusować,pokłusować,0.4903487025607114
kłuć,ukłuć,0.46674533768627224
kłuć,nakłuć,0.3618950714781026
kłuć,przekłuć,0.3944159226167374
kłuć,wykłuć,0.4073813786383649
kłuć,zakłuć,0.48277026634769893
lansować,wylansować,0.5510932978806983
latać,wylecieć,0.4804788153837689
latać,polecieć,0.661532954333065
latać,nadlecieć,0.5417594543753781
latać,przylecieć,0.5939284466665399
latać,oblecieć,0.4202084800304732
latać,dolecieć,0.6230292154028568
latać,przelecieć,0.5742988511337248
leczyć,podleczyć,0.5276785394795603
leczyć,uleczyć,0.5699973591497377
leczyć,wyleczyć,0.704874562991728
leczyć,zaleczyć,0.5573027426130256
lepić,nalepić,0.2340848904470061
lepić,przylepić,0.3474223219296566
lepić,ulepić,0.6553061821013573
lepić,zalepić,0.3188878704354412
lizać,liznąć,0.2892965752855775
lutować,dolutować,0.5701824374968967
lutować,polutować,0.6228437891836439
lutować,przylutować,0.5377102821520288
lutować,wlutować,0.5520356105802187
lutować,zalutować,0.5519114057843961
lutować,zlutować,0.6380351573928773
machać,machnąć,0.4796693815984632
machać,namachać,0.49495349347960527
machać,odmachnąć,0.4589776231997347
machać,pomachać,0.6297503301159727
machać,powymachiwać,0.4868485234553329
machać,zamachać,0.6008091119803641
marnować,zmarnować,0.690413026895843
marudzić,pomarudzić,0.5222271342254007
marzyć,rozmarzyć,0.3182697521669773
marzyć,wymarzyć,0.4120210644990032
marzyć,zamarzyć,0.5477010732182652
maszerować,pomaszerować,0.6462481351143765
maszerować,przemaszerować,0.6356801877282969
maszerować,wmaszerować,0.4979459382553625
małpować,zmałpować,0.4409666080164155
miauczeć,miauknąć,0.4957586518237149
mierzyć,zmierzyć,0.6972058926807608
mieszać,wymieszać,0.45403851049378696
mieszać,rozmieszać,0.45319138466404985
mieszać,namieszać,0.3340898258093066
mieszać,przemieszać,0.4207994138930946
mieszać,wmieszać,0.4836822455760814
mieszać,pomieszać,0.4947992965760277
mieszać,zmieszać,0.4810792315700041
mieszkać,pomieszkać,0.6661922726298274
mieszkać,zamieszkać,0.830840503732505
mieszkać,omieszkać,0.1469089776805632
mijać,pominąć,0.2496151890465057
milczeć,zamilknąć,0.578823001366878
milczeć,zmilczeć,0.5600970384008164
mordować,zamordować,0.5475320027071658
mordować,wymordować,0.6046348689184811
mordować,pomordować,0.5910461825543236
mruczeć,zamruczeć,0.5425658801773611
mruczeć,pomruczeć,0.5613688915106599
mrugać,mrugnąć,0.47441900403339277
mrzeć,zemrzeć,0.47629199136325306
mrzeć,pomrzeć,0.6420975748174913
mrzeć,umrzeć,0.5064712739430739
mrzeć,wymrzeć,0.3675309542095917
myć,umyć,0.7596559339794526
myć,zmyć,0.5147359050205175
myć,domyć,0.5578148658770833
myć,obmyć,0.5460381887552677
nadchodzić,nadejść,0.4853277310339701
nadużywać,nadużyć,0.2397783410622567
nalewać,nalać,0.6620041507705419
namawiać,namówić,0.61789013236919
napierdalać,zapierdolić,0.511091902610023
napierdalać,napierdolić,0.47297400129331924
nazywać,pozwać,0.2562533730194281
nazywać,wyzwać,0.29457004394982245
niszczyć,zniszczyć,0.6801244885422074
nosić,donieść,0.2740371011669721
notować,zanotować,0.6388669092106362
notować,wynotować,0.4682332501498242
notować,odnotować,0.42270577476111315
obalać,obalić,0.7319268365829322
oceniać,ocenić,0.766438340978078
odbijać,odbić,0.7111629630776934
odbijać,bijać,0.28636400806588924
odchodzić,odejść,0.710692692615335
oddawać,oddać,0.7696490773354531
oddychać,odetchnąć,0.5359495828381723
odpoczywać,odpocząć,0.7133621827938537
odpoczywać,począć,0.2828018474347951
odpowiadać,powiedzieć,0.2592612317825831
odraczać,odroczyć,0.6645987758907949
ogarniać,ogarnąć,0.5339927900701701
ograniczać,ograniczyć,0.7997129446591569
okradać,okraść,0.6316155696109882
opisywać,opisać,0.6635029410413769
opowiadać,opowiedzieć,0.7197600857982036
opowiadać,poopowiadać,0.5685784298335974
opowiadać,powiedzieć,0.47239228544909606
opuszczać,opuścić,0.7082683847847815
organizować,zorganizować,0.7857937901312246
oskarżać,oskarżyć,0.7390411277168872
ostrzegać,ostrzec,0.67286133880626
oszukiwać,oszukać,0.5616260142935374
pachnieć,zapachnieć,0.49793558149643713
padać,paść,0.5555214540133951
palić,dopalić,0.4188017651526893
palić,nadpalić,0.39882391336005774
palić,napalić,0.5474172353493068
palić,odpalić,0.41434588483528934
palić,opalić,0.38801657150543145
palić,podpalić,0.46784947207806094
palić,poopalać,0.33881190612798084
palić,popalić,0.3550053574847226
palić,pozapalać,0.4937953054389481
palić,przepalić,0.42401665856812953
palić,przypalić,0.5143357545016268
palić,rozpalić,0.4965861154036333
palić,spalić,0.5879122911019121
palić,upalić,0.36014408486266003
palić,wypalić,0.5342126474020639
palić,zapalić,0.6281403673044217
pamiętać,zapamiętać,0.39180878016930043
panować,zapanować,0.6843690250906631
panować,opanować,0.369114686912675
pełzać,wypełznąć,0.42914535280597665
pieprzyć,dopieprzyć,0.436487602335484
pieprzyć,napieprzyć,0.5022961717104938
pieprzyć,odpieprzyć,0.47274008524473743
pieprzyć,opieprzyć,0.3751065692194857
pieprzyć,pieprznąć,0.5116545352025604
pieprzyć,podpieprzyć,0.43366334406770024
pieprzyć,popieprzyć,0.4129774392176968
pieprzyć,przypieprzyć,0.4429216145988828
pieprzyć,rozpieprzyć,0.33569524527738204
pieprzyć,spieprzyć,0.4162056727166745
pieprzyć,upieprzyć,0.4603392561816868
pieprzyć,wpieprzyć,0.4332839404811515
pieprzyć,wypieprzyć,0.4190051759199347
pieprzyć,zapieprzyć,0.48229235620515953
pierdzieć,pierdnąć,0.5373479961739179
pisać,napisać,0.7255992298981977
pisać,dopisać,0.4405979925451331
pisać,opisać,0.32988293137955615
pisać,przepisać,0.43632449309376875
pisać,zapisać,0.3581963555439074
pluć,wypluć,0.40097103249822186
pluć,opluć,0.5071269386997603
pluć,splunąć,0.5582198324074378
pluć,zapluć,0.4690522617077215
podchodzić,podejść,0.7291687246085076
podkradać,podkraść,0.4499095241496346
podlewać,polać,0.4208373603213975
podlewać,dolać,0.38266956427409293
podlewać,ulać,0.32093398413758434
podlewać,zalać,0.46393483264583213
podlewać,oblać,0.34951608917254384
podlewać,olać,0.2784830679724454
podnosić,podnieść,0.6315172960490638
polecać,polecić,0.6375114668732722
pomagać,pomóc,0.7631820497481804
pomagać,wspomóc,0.4820709105144544
poprawiać,poprawić,0.7284848188052785
poprzedzać,poprzedzić,0.685574670471429
posiadać,posiąść,0.4373011174071493
powtarzać,powtórzyć,0.6644736892684884
połykać,przełknąć,0.4773998041904004
pożyczać,pożyczyć,0.724280828770207
pożyczać,wypożyczyć,0.44979902709120057
prać,wyprać,0.6953630201171427
prać,sprać,0.5458610897372033
prać,uprać,0.6459366073843558
prać,naprać,0.4292660165061495
prać,przeprać,0.5760108651482326
prać,doprać,0.5250347646224403
prać,poprać,0.5166894251397153
produkować,wyprodukować,0.7589348453320359
proponować,zaproponować,0.786495957893999
przepraszać,przeprosić,0.7076714869051449
przesadzać,przesadzić,0.777230728397268
przesadzać,poprzesadzać,0.4110504401350892
przynosić,przynieść,0.7753772910287274
przypominać,zapominać,0.4843603660988306
przypuszczać,przypuścić,0.670765299458304
próbować,spróbować,0.7063309015130951
próbować,wypróbować,0.43640813129194456
próbować,popróbować,0.5141787040805912
puszczać,puścić,0.768986001839519
puszczać,dopuścić,0.334644530309951
puszczać,napuścić,0.26551748704312905
puszczać,odpuścić,0.4782686922989444
puszczać,przepuścić,0.4490470121742307
puszczać,przypuścić,0.22420323694433286
puszczać,spuścić,0.4555463243763773
puszczać,upuścić,0.34567713216017815
puszczać,wpuścić,0.4784525939378711
puszczać,wypuścić,0.5383752572470264
puszczać,zapuścić,0.4167180664844089
pytać,spytać,0.7647846768164346
pytać,wypytać,0.6295992412569469
pytać,zapytać,0.7175310613043312
pędzić,popędzić,0.5732018024187706
pędzić,wypędzić,0.3180847361928316
pędzić,dopędzić,0.4386571047825094
pędzić,zapędzić,0.4223177229415278
pędzić,przepędzić,0.42690802522833926
pędzić,odpędzić,0.3664777852052763
pękać,pęknąć,0.5749448120890279
radzić,doradzić,0.46766345220699124
radzić,odradzić,0.1828876348075601
radzić,poradzić,0.8010656240629276
ratować,odratować,0.4823338027135159
ratować,poratować,0.3907335905884921
razić,zrazić,0.3259336078044386
razić,wrazić,0.2246759347917986
robić,dorobić,0.3840829745661347
robić,nadrobić,0.3241500655090077
robić,odrobić,0.23456509488387467
robić,podrobić,0.2406786791938299
robić,przerobić,0.3362934200121692
robić,urobić,0.25179834270134227
robić,wyrobić,0.33380454081016464
robić,zarobić,0.3519947547010498
rozróżniać,rozróżnić,0.7357253133605256
rozważać,rozważyć,0.7088578761449956
ruchać,ruchnąć,0.609618414955811
ruchać,wyruchać,0.5436482414686157
ruchać,przeruchać,0.5283522857478945
ruchać,ruszyć,0.27590363915342175
ruszać,ruszyć,0.6231475872552894
ruszać,poruszyć,0.34438958889637317
ruszać,wyruszyć,0.44064107076248626
ryczeć,ryknąć,0.5291433259809943
ryczeć,zaryczeć,0.5451702015985856
ryczeć,wyryczeć,0.39998119260506504
rzec,orzec,0.390921700262717
rzec,odrzec,0.46660631127844265
rzec,wyrzec,0.315521560123041
rzucać,podrzucić,0.37679796896430595
rzucać,wyrzucić,0.44533914923516615
rzygać,rzygnąć,0.4484933345125962
rzygać,wyrzygać,0.501477088707327
rzygać,obrzygać,0.40658932052698105
rzygać,narzygać,0.3818324619413511
rzygać,zarzygać,0.45958295598472554
rąbać,zarąbać,0.42805363567280286
rąbać,przerąbać,0.4911529383541924
rąbać,wrąbać,0.3444029592392641
rąbać,wyrąbać,0.4598420973043805
rąbać,rozrąbać,0.45523224277023444
siadać,siąść,0.6820068608172033
siadać,dosiedzieć,0.4841357754901128
siadać,obsiąść,0.3226313505065498
siadać,odsiedzieć,0.34477613086321
siadać,osiąść,0.34420642937373014
siadać,posiąść,0.1793071535229136
siadać,posiedzieć,0.5053336843522095
siadać,przesiąść,0.37843179186024534
siadać,przesiedzieć,0.4409268944882022
siadać,przysiąść,0.5403728758076544
siadać,usiedzieć,0.5107492019528814
siadać,wsiąść,0.5117912963618936
siadać,wysiąść,0.469390219913719
siadać,wysiedzieć,0.5129349393334154
siadać,zasiadać,0.5095339266765744
siadać,zsiąść,0.48988440484838247
siać,posiać,0.6398090279262136
siać,rozsiać,0.46981344549249204
siać,zasiać,0.692367450902445
siedzieć,usiąść,0.7032168293080118
siedzieć,usiedzieć,0.5720100989180527
siedzieć,posiedzieć,0.7288578299900108
siedzieć,wysiedzieć,0.6135310907418051
siedzieć,usiedzieć,0.5720100989180527
siedzieć,odsiedzieć,0.5387567729957141
siedzieć,przysiąść,0.5072172379999559
sikać,zasikać,0.4993488746113295
sikać,nasikać,0.5687859349919216
sikać,wysikać,0.6058604526175814
sikać,obsikać,0.40369737865125077
sikać,osikać,0.5209345198041366
skakać,skoczyć,0.7212177534207745
skakać,podskoczyć,0.4959306503719152
skakać,uskoczyć,0.38297775324276895
skracać,skrócić,0.6953256381807986
smażyć,podsmażyć,0.7057889812953492
smażyć,wysmażyć,0.43388752348563564
smażyć,obsmażyć,0.6923078430800684
smażyć,zasmażyć,0.6467745054384478
smażyć,odsmażyć,0.6153188301155315
spać,zaspać,0.54384193575978
spać,uśpić,0.3983723276835529
spać,odespać,0.6110901084601083
spać,zasnąć,0.7627018821813748
spieprzać,spieprzyć,0.328910014544726
sprawiać,sprawić,0.7139716894333781
srać,dosrać,0.4421752286819005
srać,nasrać,0.5153713580581238
srać,obesrać,0.3591669568256569
srać,obsrać,0.3969001573254468
srać,osrać,0.4313996775695452
srać,podesrać,0.39182249208482056
srać,przysrać,0.4444325471239561
srać,wysrać,0.5088504341863436
srać,zasrać,0.47994322967206293
strzelać,ostrzelać,0.5150945863100438
strzelać,postrzelić,0.46179650772798
strzelać,rozstrzelać,0.41411779897760215
strzelać,ustrzelić,0.472508957682082
strzelać,wystrzelić,0.5070260056043228
strzelać,zastrzelić,0.506479865189618
szaleć,oszaleć,0.45776073750225166
szaleć,zaszaleć,0.5119670398721397
szantażować,zaszantażować,0.6689905289295273
szczać,obszczać,0.4041835087844363
szczać,naszczać,0.4363137643128139
szczać,oszczać,0.48288615351548203
szczuć,poszczuć,0.5745953940523082
szczuć,zaszczuć,0.47788653048205076
szukać,poszukać,0.8152053375493066
szukać,przeszukać,0.2883501627081839
szukać,wyszukać,0.4657282442620061
szukać,odszukać,0.4893638656633592
sądzić,odsądzić,0.2554003849708937
sądzić,osądzić,0.517623824345487
sądzić,posądzić,0.493251417802385
sądzić,przesądzić,0.3996415106113764
sądzić,przysądzić,0.4356488982016271
sądzić,rozsądzić,0.38042127073832854
sądzić,wysądzić,0.36297454906030824
sądzić,zasądzić,0.3161580095107075
tańczyć,obtańcować,0.43756731572233654
tańczyć,przetańczyć,0.5243067402804176
tańczyć,wytańczyć,0.5385082103135576
tańczyć,zatańczyć,0.7509784116157115
tonąć,utonąć,0.6437593968376694
tonąć,zatonąć,0.5634162788906059
trzaskać,trzasnąć,0.47906611609235705
trzebić,przetrzebić,0.43096812540141793
trzebić,wytrzebić,0.44349204589116853
trzymać,dotrzymać,0.33725758127701955
trzymać,otrzymać,0.24455118961346523
trzymać,podtrzymać,0.31956800484359316
trzymać,potrzymać,0.5292063046172335
trzymać,powstrzymać,0.25950061507675204
trzymać,przetrzymać,0.4091511228107265
trzymać,przytrzymać,0.5099516994734962
trzymać,utrzymać,0.5039691764946194
trzymać,wstrzymać,0.2905351251311814
trzymać,wytrzymać,0.3362174937582658
trzymać,zatrzymać,0.3863905971453123
tworzyć,stworzyć,0.7383511734031387
tęsknić,zatęsknić,0.6017554531785962
tęsknić,potęsknić,0.46665391438322756
tłumaczyć,wytłumaczyć,0.7563397344353129
tłumaczyć,przetłumaczyć,0.487153804095
uczyć,nauczyć,0.8122365592063302
uczyć,oduczyć,0.5260509504992259
uczyć,wyuczyć,0.5577878144148456
uczyć,douczyć,0.5494822605035516
uczyć,przeuczyć,0.3662016646766244
uderzać,uderzyć,0.7464940333087913
ufać,zaufać,0.7765016582516044
ukrywać,ukryć,0.63355633532474
umierać,umrzeć,0.6625735161366754
uprawiać,uprawić,0.5879179285580115
uwielbiać,uwielbić,0.542904424778251
używać,użyć,0.6924654286695553
wiać,powiać,0.5872673276429958
wierzyć,uwierzyć,0.7000306538975114
wkurwiać,wkurwić,0.5387615960771586
wołać,przywołać,0.3188927127341519
wracać,wrócić,0.8137804460819332
wspominać,wspomnieć,0.47594218826981405
wstawać,postawić,0.24196734146121268
wybuchać,wybuchnąć,0.6704770673731427
wykorzystywać,skorzystać,0.38722534910264717
wymiotować,zwymiotować,0.6081055997206178
wystarczać,wystarczyć,0.5213413496202294
wysyłać,wysłać,0.7860967334052266
wąchać,nawąchać,0.4679786818277931
wąchać,obwąchać,0.4620434077159561
wąchać,powąchać,0.587490721711943
wąchać,przewąchać,0.3066201655555141
wąchać,wywąchać,0.4301828038174328
wąchać,zwąchać,0.3287790926042422
włączać,łączyć,0.43984070357747096
zachodzić,zajść,0.527228697611545
zaczynać,zacząć,0.7542107037202908
zakładać,założyć,0.7296373380336857
zamarzać,zamarznąć,0.5258002474156803
zamykać,zamknąć,0.7477409838022954
zapierdalać,pierdolnąć,0.4372041682113781
zapierdalać,odpierdolić,0.41679911280760096
zapierdalać,opierdolić,0.3618104668932499
zapierdalać,podpierdolić,0.4329917298383411
zapierdalać,popierdolić,0.39591830532782346
zapierdalać,przypierdolić,0.36515027138037714
zapierdalać,rozpierdolić,0.3959771307891419
zapierdalać,spierdolić,0.4419341807985302
zapierdalać,upierdolić,0.4002872434767444
zapierdalać,wpierdolić,0.4304593990195853
zapierdalać,wypierdolić,0.3944766382208844
zapierdalać,upierdolić,0.4002872434767444
zapierdalać,zapierdolić,0.44128907670852
zapominać,zapomnieć,0.6627466647920923
zarabiać,zarobić,0.7956680883466287
zasługiwać,zasłużyć,0.5722334106272768
zdobić,ozdobić,0.6750430444574564
zdobić,przyozdobić,0.5408067624431551
zerkać,zerknąć,0.529737834141263
zimować,przezimować,0.6706082743865577
zmartwychwstawać,zmartwychwstać,0.44704373609067416
zmieniać,zmienić,0.7756937740952453
znajdować,znaleźć,0.5928007951433707
znać,poznać,0.588229900245308
znać,zaznać,0.3169196382428533
znać,uznać,0.19129964517508058
znosić,donieść,0.2769963919034435
ćpać,zaćpać,0.4858025846474211
ćwiczyć,wyćwiczyć,0.527879873309835
ładować,doładować,0.4387065028488373
ładować,naładować,0.5532200147994691
ładować,obładować,0.48113792990477977
ładować,podładować,0.5373416633844987
ładować,przeładować,0.5110524649746067
ładować,przyładować,0.31641260907388924
ładować,rozładować,0.36945680683746707
ładować,władować,0.5401174252383234
ładować,wyładować,0.4563979816563326
ładować,załadować,0.7049111060084305
ściągać,ściągnąć,0.7505997180335866
śledzić,wyśledzić,0.4834747110199259
śledzić,prześledzić,0.6159364863205737
śmierdzieć,zaśmierdzieć,0.48909343285270734
śpieszyć,pośpieszyć,0.6739459983665355
śpieszyć,pospieszyć,0.6877263152511579
śpiewać,zaśpiewać,0.7579237303715912
śpiewać,odśpiewać,0.5697076839982561
śpiewać,wyśpiewać,0.5772652253787209
śpiewać,dośpiewać,0.3336157999149334
żałować,pożałować,0.5937646985929109
żyć,przeżyć,0.4574425483981506
żyć,ożyć,0.3386168401487748
żyć,odżyć,0.34548179383686584
